组播测试,#genre#
阜城电视,http://121.29.91.219:7077/rtp/239.253.93.168:6336
故城电视,http://121.29.91.219:7077/rtp/239.253.93.161:6329
枣强电视,http://121.29.91.219:7077/rtp/239.253.93.166:6334
清河电视,http://121.29.91.219:7077/rtp/239.253.93.44:6197
广宗电视,http://121.29.91.219:7077/rtp/239.253.93.50:6203
武安电视,http://121.29.91.219:7077/rtp/239.253.93.62:6215
宁晋电视,http://121.29.91.219:7077/rtp/239.253.93.51:6204
平乡电视,http://121.29.91.219:7077/rtp/239.253.93.53:6206
鸡泽电视,http://121.29.91.219:7077/rtp/239.253.93.64:6219
隆尧电视,http://121.29.91.219:7077/rtp/239.253.93.65:6230
广平电视,http://121.29.91.219:7077/rtp/239.253.93.66:6231
南和电视,http://121.29.91.219:7077/rtp/239.253.93.80:6246
临漳电视,http://121.29.91.219:7077/rtp/239.253.93.84:6250
内丘电视,http://121.29.91.219:7077/rtp/239.253.93.102:6268
涉县电视,http://121.29.91.219:7077/rtp/239.253.93.106:6273
迁安电视,http://121.29.91.219:7077/rtp/239.253.93.113:6280
馆陶电视,http://121.29.91.219:7077/rtp/239.253.93.115:6282
乐亭电视,http://121.29.91.219:7077/rtp/239.253.93.250:6290
沙河电视,http://121.29.91.219:7077/rtp/239.253.93.179:6347
曲周电视,http://121.29.91.219:7077/rtp/239.253.93.54:6207
南宫电视,http://121.29.91.219:7077/rtp/239.253.93.48:6201
丰润电视,http://121.29.91.219:7077/rtp/239.253.92.252:6156
纪实人文高清,http://121.29.91.219:7077/rtp/239.253.92.99:6013
中国教育-1高清,http://121.29.91.219:7077/rtp/239.253.92.211:6069
中国交通频道,http://121.29.91.219:7077/rtp/239.253.93.189:6357
kaku 少儿,http://121.29.91.219:7077/rtp/239.253.92.162:8054
金鹰卡通,http://121.29.91.219:7077/rtp/239.253.92.163:8055
嘉佳卡通,http://121.29.91.219:7077/rtp/239.253.93.203:6381
优漫卡通,http://121.29.91.219:7077/rtp/239.253.93.204:6382
山东教育,http://121.29.91.219:7077/rtp/239.253.92.106:6135
兵团卫视,http://121.29.91.219:7077/rtp/239.253.93.176:6344
百姓健康,http://121.29.91.219:7077/rtp/239.253.92.199:6568
证券服务,http://121.29.91.219:7077/rtp/239.253.92.124:6569
电视指南,http://121.29.91.219:7077/rtp/239.253.92.17:6078
第一剧场,http://121.29.91.219:7077/rtp/239.253.92.18:6079
风云剧场,http://121.29.91.219:7077/rtp/239.253.92.22:6073
怀旧剧场,http://121.29.91.219:7077/rtp/239.253.92.98:6120
风云音乐,http://121.29.91.219:7077/rtp/239.253.92.111:8060
风云足球,http://121.29.91.219:7077/rtp/239.253.92.110:8061
高尔夫网球,http://121.29.91.219:7077/rtp/239.253.92.117:8062
武术世界,http://121.29.91.219:7077/rtp/239.253.92.141:8064
兵器科技,http://121.29.91.219:7077/rtp/239.253.92.119:8065
世界地理,http://121.29.91.219:7077/rtp/239.253.92.113:8066
老故事,http://121.29.91.219:7077/rtp/239.253.92.132:8068
环球奇观,http://121.29.91.219:7077/rtp/239.253.92.130:8069
文物宝库,http://121.29.91.219:7077/rtp/239.253.92.159:8070
